Calibration metrics:
x0: Cal. error 0.4790, RMSE 77.7377, R2 -138283.4688, NCRPS 305.5097, RQE -138.3415
x1: Cal. error 0.4680, RMSE 111.8386, R2 -298290.9375, NCRPS 333.6635, RQE -517.8063
x2: Cal. error 0.4310, RMSE 93.3489, R2 -201090.3281, NCRPS 333.7485, RQE -364.1796
x3: Cal. error 0.2360, RMSE 88.9101, R2 -183567.9219, NCRPS 262.5916, RQE -382.3415
x4: Cal. error 0.3400, RMSE 111.7914, R2 -287923.7188, NCRPS 315.0657, RQE -540.0090
x5: Cal. error 0.4900, RMSE 164.9653, R2 -592684.3750, NCRPS 634.1952, RQE -514.8283
x6: Cal. error 0.3670, RMSE 144.6951, R2 -522958.0312, NCRPS 528.5573, RQE -557.3505
x7: Cal. error 0.3670, RMSE 64.6696, R2 -92334.8047, NCRPS 227.8988, RQE -224.9777
x8: Cal. error 0.3580, RMSE 72.4797, R2 -120206.2500, NCRPS 278.1498, RQE -164.6831
x9: Cal. error 0.4940, RMSE 73.0094, R2 -127088.9766, NCRPS 177.0947, RQE -439.1860
x10: Cal. error 0.3260, RMSE 70.8615, R2 -115938.0078, NCRPS 226.1754, RQE -306.4613
x11: Cal. error 0.1720, RMSE 67.4338, R2 -105684.9609, NCRPS 193.3531, RQE -312.4912
x12: Cal. error 0.1640, RMSE 64.6742, R2 -96202.7500, NCRPS 157.7926, RQE -469.0297
x13: Cal. error 0.4740, RMSE 144.6687, R2 -455771.5000, NCRPS 465.8518, RQE -518.3610
x14: Cal. error 0.0880, RMSE 129.3594, R2 -417946.3438, NCRPS 406.0319, RQE -568.7629
x15: Cal. error 0.1600, RMSE 57.5392, R2 -73121.9062, NCRPS 186.0975, RQE -224.3586
x16: Cal. error 0.2480, RMSE 58.3489, R2 -77882.4297, NCRPS 221.2647, RQE -171.1364
x17: Cal. error 0.4940, RMSE 55.2783, R2 -72895.6406, NCRPS 124.1395, RQE -406.4421
x18: Cal. error 0.2590, RMSE 53.6200, R2 -66404.7891, NCRPS 162.7617, RQE -258.3185
x19: Cal. error 0.1430, RMSE 35.5708, R2 -29445.5527, NCRPS 112.2010, RQE -303.2169
x20: Cal. error 0.0760, RMSE 39.9537, R2 -36710.7148, NCRPS 105.6900, RQE -485.8877
x21: Cal. error 0.4730, RMSE 110.1916, R2 -264413.0312, NCRPS 332.8506, RQE -445.2165
x22: Cal. error 0.0330, RMSE 85.6682, R2 -183147.3906, NCRPS 237.7773, RQE -474.2903
x23: Cal. error 0.1800, RMSE 40.4115, R2 -36076.4648, NCRPS 127.9348, RQE -184.5153
x24: Cal. error 0.1380, RMSE 49.3479, R2 -55707.9453, NCRPS 188.9463, RQE -188.2760
x25: Cal. error 0.4950, RMSE 57.4527, R2 -78754.4062, NCRPS 129.0957, RQE -431.9151
x26: Cal. error 0.2440, RMSE 54.3261, R2 -68254.1562, NCRPS 160.6930, RQE -271.3426
x27: Cal. error 0.2480, RMSE 28.5435, R2 -18960.2656, NCRPS 104.9416, RQE -323.5683
x28: Cal. error 0.1980, RMSE 32.6600, R2 -24530.7500, NCRPS 98.1072, RQE -529.5210
x29: Cal. error 0.4550, RMSE 103.1029, R2 -231490.5000, NCRPS 298.2596, RQE -453.5176
x30: Cal. error 0.0900, RMSE 75.8528, R2 -143526.2031, NCRPS 205.9730, RQE -489.3864
x31: Cal. error 0.1340, RMSE 38.4190, R2 -32580.2090, NCRPS 121.7798, RQE -196.4742
x32: Cal. error 0.1410, RMSE 47.0672, R2 -50673.6484, NCRPS 179.2709, RQE -181.0148
x33: Cal. error 0.4950, RMSE 60.0211, R2 -85863.4375, NCRPS 136.3043, RQE -441.1514
x34: Cal. error 0.2550, RMSE 58.2767, R2 -78528.0312, NCRPS 172.0111, RQE -292.9346
x35: Cal. error 0.2570, RMSE 29.4099, R2 -20120.6738, NCRPS 99.1727, RQE -345.1123
x36: Cal. error 0.2630, RMSE 33.0364, R2 -25114.8516, NCRPS 90.9802, RQE -556.6390
x37: Cal. error 0.4650, RMSE 106.1862, R2 -245693.4688, NCRPS 313.5108, RQE -455.3142
x38: Cal. error 0.1070, RMSE 81.4548, R2 -165439.5781, NCRPS 226.5240, RQE -494.4941
x39: Cal. error 0.2240, RMSE 42.5105, R2 -39899.1562, NCRPS 136.2429, RQE -202.9575
x40: Cal. error 0.1430, RMSE 48.8211, R2 -54520.5977, NCRPS 180.9367, RQE -166.7575
x41: Cal. error 0.4950, RMSE 62.4584, R2 -92949.9766, NCRPS 146.0600, RQE -439.1806
