Calibration metrics:
x0: Cal. error 0.3300, RMSE 0.0967, R2 0.6635
x1: Cal. error 0.2490, RMSE 0.0832, R2 0.7530
x2: Cal. error 0.2480, RMSE 0.0825, R2 0.7583
x3: Cal. error 0.2720, RMSE 0.0844, R2 0.7492
x4: Cal. error 0.2940, RMSE 0.0900, R2 0.7152
x5: Cal. error 0.2990, RMSE 0.0932, R2 0.6945
x6: Cal. error 0.2880, RMSE 0.0942, R2 0.6872
x7: Cal. error 0.2920, RMSE 0.0976, R2 0.6636
x8: Cal. error 0.2800, RMSE 0.1031, R2 0.6225
x9: Cal. error 0.2970, RMSE 0.1042, R2 0.6104
x10: Cal. error 0.2990, RMSE 0.1048, R2 0.6011
x11: Cal. error 0.3040, RMSE 0.1036, R2 0.6050
x12: Cal. error 0.2990, RMSE 0.1049, R2 0.5885
x13: Cal. error 0.3040, RMSE 0.1042, R2 0.5879
x14: Cal. error 0.3160, RMSE 0.1051, R2 0.5745
x15: Cal. error 0.3220, RMSE 0.1030, R2 0.5851
x16: Cal. error 0.3140, RMSE 0.1054, R2 0.5591
x17: Cal. error 0.3140, RMSE 0.1054, R2 0.5533
x18: Cal. error 0.3200, RMSE 0.1066, R2 0.5384
x19: Cal. error 0.3300, RMSE 0.1051, R2 0.5475
x20: Cal. error 0.3300, RMSE 0.1064, R2 0.5333
x21: Cal. error 0.3420, RMSE 0.1063, R2 0.5325
x22: Cal. error 0.3490, RMSE 0.1076, R2 0.5195
x23: Cal. error 0.3410, RMSE 0.1076, R2 0.5187
x24: Cal. error 0.3320, RMSE 0.1097, R2 0.5009
x25: Cal. error 0.3060, RMSE 0.1109, R2 0.4915
x26: Cal. error 0.3100, RMSE 0.1137, R2 0.4692
x27: Cal. error 0.3140, RMSE 0.1139, R2 0.4694
x28: Cal. error 0.2970, RMSE 0.1174, R2 0.4417
x29: Cal. error 0.3140, RMSE 0.1173, R2 0.4474
x30: Cal. error 0.3200, RMSE 0.1195, R2 0.4306
x31: Cal. error 0.3390, RMSE 0.1177, R2 0.4516
x32: Cal. error 0.3350, RMSE 0.1193, R2 0.4420
x33: Cal. error 0.3350, RMSE 0.1181, R2 0.4564
x34: Cal. error 0.3320, RMSE 0.1203, R2 0.4413
x35: Cal. error 0.3560, RMSE 0.1201, R2 0.4489
x36: Cal. error 0.3270, RMSE 0.1231, R2 0.4229
x37: Cal. error 0.3200, RMSE 0.1201, R2 0.4460
x38: Cal. error 0.2990, RMSE 0.1229, R2 0.4264
x39: Cal. error 0.2990, RMSE 0.1228, R2 0.4356
x40: Cal. error 0.3020, RMSE 0.1254, R2 0.4140
x41: Cal. error 0.3000, RMSE 0.1246, R2 0.4247
x42: Cal. error 0.3040, RMSE 0.1273, R2 0.4048
x43: Cal. error 0.3100, RMSE 0.1272, R2 0.4113
x44: Cal. error 0.3270, RMSE 0.1315, R2 0.3760
x45: Cal. error 0.3230, RMSE 0.1303, R2 0.3888
x46: Cal. error 0.3180, RMSE 0.1316, R2 0.3774
x47: Cal. error 0.3290, RMSE 0.1297, R2 0.3953
x48: Cal. error 0.3450, RMSE 0.1295, R2 0.3912
x49: Cal. error 0.3280, RMSE 0.1269, R2 0.4106
x50: Cal. error 0.3210, RMSE 0.1264, R2 0.4118
x51: Cal. error 0.3350, RMSE 0.1250, R2 0.4207
x52: Cal. error 0.3410, RMSE 0.1262, R2 0.4034
x53: Cal. error 0.3510, RMSE 0.1226, R2 0.4329
x54: Cal. error 0.3420, RMSE 0.1224, R2 0.4338
x55: Cal. error 0.3280, RMSE 0.1212, R2 0.4440
x56: Cal. error 0.3550, RMSE 0.1231, R2 0.4268
x57: Cal. error 0.3420, RMSE 0.1239, R2 0.4189
x58: Cal. error 0.3570, RMSE 0.1265, R2 0.3975
x59: Cal. error 0.3490, RMSE 0.1255, R2 0.4106
x60: Cal. error 0.3350, RMSE 0.1213, R2 0.4535
x61: Cal. error 0.3090, RMSE 0.1133, R2 0.5272
x62: Cal. error 0.3180, RMSE 0.1098, R2 0.5586
x63: Cal. error 0.3770, RMSE 0.1096, R2 0.5645
x64: Cal. error 0.3440, RMSE 0.1291, R2 0.3975
