Calibration metrics:
x0: Cal. error 0.4990, RMSE 0.3621, R2 -3.7182
x1: Cal. error 0.3160, RMSE 0.2097, R2 -0.5692
x2: Cal. error 0.2200, RMSE 0.1953, R2 -0.3557
x3: Cal. error 0.2580, RMSE 0.2173, R2 -0.6636
x4: Cal. error 0.2510, RMSE 0.2111, R2 -0.5655
x5: Cal. error 0.2410, RMSE 0.2042, R2 -0.4674
x6: Cal. error 0.2520, RMSE 0.1973, R2 -0.3713
x7: Cal. error 0.2390, RMSE 0.1925, R2 -0.3092
x8: Cal. error 0.2280, RMSE 0.1840, R2 -0.2020
x9: Cal. error 0.2170, RMSE 0.1764, R2 -0.1170
x10: Cal. error 0.2280, RMSE 0.1707, R2 -0.0590
x11: Cal. error 0.2230, RMSE 0.1669, R2 -0.0257
x12: Cal. error 0.2320, RMSE 0.1638, R2 -0.0032
x13: Cal. error 0.2390, RMSE 0.1610, R2 0.0165
x14: Cal. error 0.2520, RMSE 0.1525, R2 0.1041
x15: Cal. error 0.2610, RMSE 0.1449, R2 0.1800
x16: Cal. error 0.2640, RMSE 0.1399, R2 0.2230
x17: Cal. error 0.2590, RMSE 0.1388, R2 0.2263
x18: Cal. error 0.2530, RMSE 0.1350, R2 0.2599
x19: Cal. error 0.2390, RMSE 0.1310, R2 0.2969
x20: Cal. error 0.2390, RMSE 0.1293, R2 0.3098
x21: Cal. error 0.2490, RMSE 0.1302, R2 0.2981
x22: Cal. error 0.2630, RMSE 0.1284, R2 0.3159
x23: Cal. error 0.2630, RMSE 0.1261, R2 0.3393
x24: Cal. error 0.2560, RMSE 0.1270, R2 0.3312
x25: Cal. error 0.2430, RMSE 0.1300, R2 0.3021
x26: Cal. error 0.2460, RMSE 0.1323, R2 0.2811
x27: Cal. error 0.2330, RMSE 0.1319, R2 0.2886
x28: Cal. error 0.2380, RMSE 0.1348, R2 0.2640
x29: Cal. error 0.2460, RMSE 0.1385, R2 0.2294
x30: Cal. error 0.2620, RMSE 0.1407, R2 0.2110
x31: Cal. error 0.2770, RMSE 0.1410, R2 0.2124
x32: Cal. error 0.2540, RMSE 0.1443, R2 0.1838
