Calibration metrics:
x0: Cal. error 0.2770, RMSE 0.1201, R2 0.4835
x1: Cal. error 0.1850, RMSE 0.1053, R2 0.6066
x2: Cal. error 0.1100, RMSE 0.1015, R2 0.6357
x3: Cal. error 0.1200, RMSE 0.1007, R2 0.6444
x4: Cal. error 0.1070, RMSE 0.1021, R2 0.6351
x5: Cal. error 0.1160, RMSE 0.1000, R2 0.6495
x6: Cal. error 0.1370, RMSE 0.1049, R2 0.6141
x7: Cal. error 0.1400, RMSE 0.1059, R2 0.6051
x8: Cal. error 0.1450, RMSE 0.1142, R2 0.5391
x9: Cal. error 0.1630, RMSE 0.1150, R2 0.5276
x10: Cal. error 0.1650, RMSE 0.1129, R2 0.5392
x11: Cal. error 0.1670, RMSE 0.1155, R2 0.5107
x12: Cal. error 0.1720, RMSE 0.1193, R2 0.4703
x13: Cal. error 0.1620, RMSE 0.1199, R2 0.4571
x14: Cal. error 0.1970, RMSE 0.1235, R2 0.4149
x15: Cal. error 0.2180, RMSE 0.1250, R2 0.3915
x16: Cal. error 0.2190, RMSE 0.1297, R2 0.3347
x17: Cal. error 0.2200, RMSE 0.1303, R2 0.3206
x18: Cal. error 0.2240, RMSE 0.1277, R2 0.3403
x19: Cal. error 0.2450, RMSE 0.1315, R2 0.2939
x20: Cal. error 0.2470, RMSE 0.1369, R2 0.2300
x21: Cal. error 0.2580, RMSE 0.1405, R2 0.1862
x22: Cal. error 0.2690, RMSE 0.1420, R2 0.1658
x23: Cal. error 0.2770, RMSE 0.1413, R2 0.1735
x24: Cal. error 0.2810, RMSE 0.1427, R2 0.1582
x25: Cal. error 0.2870, RMSE 0.1450, R2 0.1330
x26: Cal. error 0.2700, RMSE 0.1383, R2 0.2155
x27: Cal. error 0.2880, RMSE 0.1429, R2 0.1662
x28: Cal. error 0.2640, RMSE 0.1448, R2 0.1508
x29: Cal. error 0.2770, RMSE 0.1488, R2 0.1117
x30: Cal. error 0.2600, RMSE 0.1486, R2 0.1204
x31: Cal. error 0.2650, RMSE 0.1466, R2 0.1488
x32: Cal. error 0.2640, RMSE 0.1460, R2 0.1645
x33: Cal. error 0.2700, RMSE 0.1476, R2 0.1520
x34: Cal. error 0.2480, RMSE 0.1398, R2 0.2456
x35: Cal. error 0.2560, RMSE 0.1437, R2 0.2097
x36: Cal. error 0.2540, RMSE 0.1459, R2 0.1884
x37: Cal. error 0.2430, RMSE 0.1468, R2 0.1716
x38: Cal. error 0.2440, RMSE 0.1462, R2 0.1874
x39: Cal. error 0.2710, RMSE 0.1467, R2 0.1941
x40: Cal. error 0.2540, RMSE 0.1468, R2 0.1957
x41: Cal. error 0.2630, RMSE 0.1474, R2 0.1933
x42: Cal. error 0.2470, RMSE 0.1401, R2 0.2787
x43: Cal. error 0.2480, RMSE 0.1442, R2 0.2428
x44: Cal. error 0.2560, RMSE 0.1487, R2 0.2016
x45: Cal. error 0.2610, RMSE 0.1509, R2 0.1788
x46: Cal. error 0.2570, RMSE 0.1475, R2 0.2179
x47: Cal. error 0.2670, RMSE 0.1477, R2 0.2154
x48: Cal. error 0.2560, RMSE 0.1449, R2 0.2384
x49: Cal. error 0.2540, RMSE 0.1440, R2 0.2418
x50: Cal. error 0.2530, RMSE 0.1346, R2 0.3336
x51: Cal. error 0.2560, RMSE 0.1377, R2 0.2988
x52: Cal. error 0.2110, RMSE 0.1383, R2 0.2842
x53: Cal. error 0.2190, RMSE 0.1406, R2 0.2566
x54: Cal. error 0.2230, RMSE 0.1406, R2 0.2556
x55: Cal. error 0.2310, RMSE 0.1397, R2 0.2645
x56: Cal. error 0.2310, RMSE 0.1418, R2 0.2421
x57: Cal. error 0.2290, RMSE 0.1375, R2 0.2868
x58: Cal. error 0.2260, RMSE 0.1336, R2 0.3311
x59: Cal. error 0.2030, RMSE 0.1293, R2 0.3771
x60: Cal. error 0.1880, RMSE 0.1185, R2 0.4810
x61: Cal. error 0.2190, RMSE 0.1201, R2 0.4720
x62: Cal. error 0.2410, RMSE 0.1147, R2 0.5207
x63: Cal. error 0.3070, RMSE 0.1233, R2 0.4510
x64: Cal. error 0.2860, RMSE 0.1576, R2 0.1055
x65: Cal. error 0.2360, RMSE 0.1493, R2 0.2041
x66: Cal. error 0.1900, RMSE 0.1526, R2 0.1720
x67: Cal. error 0.2180, RMSE 0.1572, R2 0.1276
