Calibration metrics:
x0: Cal. error 0.5050, RMSE 0.7208, R2 -17.6861
x1: Cal. error 0.5050, RMSE 0.7195, R2 -17.4723
x2: Cal. error 0.5050, RMSE 0.7078, R2 -16.8240
x3: Cal. error 0.5050, RMSE 0.7046, R2 -16.5291
x4: Cal. error 0.5050, RMSE 0.7044, R2 -16.4751
x5: Cal. error 0.5050, RMSE 0.6991, R2 -16.2545
x6: Cal. error 0.5050, RMSE 0.7013, R2 -16.4022
x7: Cal. error 0.5050, RMSE 0.6962, R2 -16.2177
x8: Cal. error 0.5050, RMSE 0.6989, R2 -16.4522
x9: Cal. error 0.5050, RMSE 0.6909, R2 -16.2500
x10: Cal. error 0.5050, RMSE 0.6930, R2 -16.5748
x11: Cal. error 0.5050, RMSE 0.6867, R2 -16.4936
x12: Cal. error 0.5050, RMSE 0.6857, R2 -16.7297
x13: Cal. error 0.5050, RMSE 0.6795, R2 -16.6721
x14: Cal. error 0.5050, RMSE 0.6825, R2 -17.0965
x15: Cal. error 0.5050, RMSE 0.6779, R2 -17.1243
x16: Cal. error 0.5050, RMSE 0.6812, R2 -17.5835
x17: Cal. error 0.5050, RMSE 0.6783, R2 -17.6592
x18: Cal. error 0.5050, RMSE 0.6838, R2 -18.1618
x19: Cal. error 0.5050, RMSE 0.6822, R2 -18.2389
x20: Cal. error 0.5050, RMSE 0.6871, R2 -18.6564
x21: Cal. error 0.5050, RMSE 0.6873, R2 -18.7295
x22: Cal. error 0.5050, RMSE 0.6953, R2 -19.2531
x23: Cal. error 0.5050, RMSE 0.6951, R2 -19.2606
x24: Cal. error 0.5050, RMSE 0.7067, R2 -19.8947
x25: Cal. error 0.5050, RMSE 0.7086, R2 -19.9464
x26: Cal. error 0.5050, RMSE 0.7196, R2 -20.4746
x27: Cal. error 0.5050, RMSE 0.7209, R2 -20.4481
x28: Cal. error 0.5050, RMSE 0.7308, R2 -20.8621
x29: Cal. error 0.5050, RMSE 0.7354, R2 -20.9403
x30: Cal. error 0.5050, RMSE 0.7452, R2 -21.3681
x31: Cal. error 0.5050, RMSE 0.7467, R2 -21.3223
x32: Cal. error 0.5050, RMSE 0.7617, R2 -21.9833
x33: Cal. error 0.5050, RMSE 0.7641, R2 -21.9850
x34: Cal. error 0.5050, RMSE 0.7731, R2 -22.3319
x35: Cal. error 0.5050, RMSE 0.7752, R2 -22.2364
x36: Cal. error 0.5050, RMSE 0.7817, R2 -22.5582
x37: Cal. error 0.5050, RMSE 0.7770, R2 -22.4706
x38: Cal. error 0.5050, RMSE 0.7853, R2 -22.7107
x39: Cal. error 0.5050, RMSE 0.7875, R2 -22.4911
x40: Cal. error 0.5050, RMSE 0.7967, R2 -22.9624
x41: Cal. error 0.5050, RMSE 0.7953, R2 -22.7611
x42: Cal. error 0.5050, RMSE 0.8024, R2 -22.9456
x43: Cal. error 0.5050, RMSE 0.8003, R2 -22.6055
x44: Cal. error 0.5050, RMSE 0.8053, R2 -22.6980
x45: Cal. error 0.5050, RMSE 0.8009, R2 -22.4027
x46: Cal. error 0.5050, RMSE 0.8005, R2 -22.3248
x47: Cal. error 0.5050, RMSE 0.7919, R2 -21.8195
x48: Cal. error 0.5050, RMSE 0.7899, R2 -21.8973
x49: Cal. error 0.5050, RMSE 0.7801, R2 -21.4903
x50: Cal. error 0.5050, RMSE 0.7749, R2 -21.3110
x51: Cal. error 0.5050, RMSE 0.7618, R2 -20.6759
x52: Cal. error 0.5050, RMSE 0.7547, R2 -20.4889
x53: Cal. error 0.5050, RMSE 0.7447, R2 -20.0201
x54: Cal. error 0.5050, RMSE 0.7385, R2 -19.6783
