Calibration metrics:
x0: Cal. error 0.0600, RMSE 0.0764, R2 0.7899
x1: Cal. error 0.2530, RMSE 0.0758, R2 0.7953
x2: Cal. error 0.2790, RMSE 0.0788, R2 0.7791
x3: Cal. error 0.2400, RMSE 0.0802, R2 0.7733
x4: Cal. error 0.2280, RMSE 0.0839, R2 0.7528
x5: Cal. error 0.1960, RMSE 0.0849, R2 0.7463
x6: Cal. error 0.2280, RMSE 0.0833, R2 0.7555
x7: Cal. error 0.3000, RMSE 0.0824, R2 0.7601
x8: Cal. error 0.2710, RMSE 0.0817, R2 0.7632
x9: Cal. error 0.2450, RMSE 0.0815, R2 0.7618
x10: Cal. error 0.2510, RMSE 0.0823, R2 0.7543
x11: Cal. error 0.2830, RMSE 0.0814, R2 0.7564
x12: Cal. error 0.2720, RMSE 0.0808, R2 0.7558
x13: Cal. error 0.2870, RMSE 0.0802, R2 0.7559
x14: Cal. error 0.2730, RMSE 0.0806, R2 0.7499
x15: Cal. error 0.2630, RMSE 0.0809, R2 0.7441
x16: Cal. error 0.2950, RMSE 0.0818, R2 0.7344
x17: Cal. error 0.2850, RMSE 0.0833, R2 0.7214
x18: Cal. error 0.2620, RMSE 0.0843, R2 0.7115
x19: Cal. error 0.2900, RMSE 0.0838, R2 0.7123
x20: Cal. error 0.2750, RMSE 0.0846, R2 0.7051
x21: Cal. error 0.2700, RMSE 0.0852, R2 0.6999
x22: Cal. error 0.2690, RMSE 0.0864, R2 0.6899
x23: Cal. error 0.2760, RMSE 0.0876, R2 0.6809
x24: Cal. error 0.2650, RMSE 0.0884, R2 0.6762
x25: Cal. error 0.2610, RMSE 0.0895, R2 0.6686
x26: Cal. error 0.2660, RMSE 0.0910, R2 0.6598
x27: Cal. error 0.2820, RMSE 0.0904, R2 0.6659
x28: Cal. error 0.2540, RMSE 0.0913, R2 0.6620
x29: Cal. error 0.2580, RMSE 0.0925, R2 0.6567
x30: Cal. error 0.2780, RMSE 0.0917, R2 0.6646
x31: Cal. error 0.2590, RMSE 0.0920, R2 0.6651
x32: Cal. error 0.2310, RMSE 0.0914, R2 0.6726
x33: Cal. error 0.2480, RMSE 0.0919, R2 0.6708
x34: Cal. error 0.2390, RMSE 0.0915, R2 0.6768
x35: Cal. error 0.2390, RMSE 0.0926, R2 0.6725
x36: Cal. error 0.2100, RMSE 0.0907, R2 0.6866
x37: Cal. error 0.2050, RMSE 0.0919, R2 0.6752
x38: Cal. error 0.2210, RMSE 0.0914, R2 0.6829
x39: Cal. error 0.2240, RMSE 0.0929, R2 0.6771
x40: Cal. error 0.2050, RMSE 0.0911, R2 0.6905
x41: Cal. error 0.2370, RMSE 0.0917, R2 0.6881
x42: Cal. error 0.2320, RMSE 0.0915, R2 0.6926
x43: Cal. error 0.2710, RMSE 0.0918, R2 0.6936
x44: Cal. error 0.2420, RMSE 0.0904, R2 0.7050
x45: Cal. error 0.2560, RMSE 0.0921, R2 0.6942
x46: Cal. error 0.2610, RMSE 0.0902, R2 0.7077
x47: Cal. error 0.2200, RMSE 0.0915, R2 0.6988
x48: Cal. error 0.2100, RMSE 0.0891, R2 0.7122
x49: Cal. error 0.2610, RMSE 0.0896, R2 0.7063
x50: Cal. error 0.2130, RMSE 0.0894, R2 0.7056
x51: Cal. error 0.2340, RMSE 0.0914, R2 0.6903
x52: Cal. error 0.1980, RMSE 0.0894, R2 0.7004
x53: Cal. error 0.1830, RMSE 0.0914, R2 0.6848
x54: Cal. error 0.2250, RMSE 0.0892, R2 0.6995
x55: Cal. error 0.2510, RMSE 0.0906, R2 0.6894
x56: Cal. error 0.2310, RMSE 0.0898, R2 0.6949
x57: Cal. error 0.2650, RMSE 0.0895, R2 0.6968
x58: Cal. error 0.2520, RMSE 0.0893, R2 0.6997
x59: Cal. error 0.2180, RMSE 0.0924, R2 0.6804
