Calibration metrics:
x0: Cal. error 0.5050, RMSE 0.6013, R2 -11.9449
x1: Cal. error 0.5050, RMSE 0.6067, R2 -12.0707
x2: Cal. error 0.5050, RMSE 0.6123, R2 -12.2637
x3: Cal. error 0.5050, RMSE 0.6481, R2 -13.7359
x4: Cal. error 0.5050, RMSE 0.6452, R2 -13.5592
x5: Cal. error 0.5050, RMSE 0.6596, R2 -14.2372
x6: Cal. error 0.5050, RMSE 0.6588, R2 -14.2212
x7: Cal. error 0.5050, RMSE 0.6720, R2 -14.8888
x8: Cal. error 0.5050, RMSE 0.6699, R2 -14.8680
x9: Cal. error 0.5050, RMSE 0.6713, R2 -15.1088
x10: Cal. error 0.5040, RMSE 0.6611, R2 -14.8081
x11: Cal. error 0.4950, RMSE 0.6585, R2 -14.8932
x12: Cal. error 0.4950, RMSE 0.6452, R2 -14.4988
x13: Cal. error 0.4990, RMSE 0.6437, R2 -14.6605
x14: Cal. error 0.4950, RMSE 0.6317, R2 -14.2997
x15: Cal. error 0.5040, RMSE 0.6336, R2 -14.6255
x16: Cal. error 0.4950, RMSE 0.6238, R2 -14.3787
x17: Cal. error 0.5050, RMSE 0.6289, R2 -14.8311
x18: Cal. error 0.4950, RMSE 0.6218, R2 -14.6411
x19: Cal. error 0.5050, RMSE 0.6305, R2 -15.2219
x20: Cal. error 0.4950, RMSE 0.6276, R2 -15.1927
x21: Cal. error 0.5050, RMSE 0.6378, R2 -15.7771
x22: Cal. error 0.4950, RMSE 0.6358, R2 -15.7272
x23: Cal. error 0.4950, RMSE 0.6477, R2 -16.3779
x24: Cal. error 0.4950, RMSE 0.6473, R2 -16.3198
x25: Cal. error 0.4950, RMSE 0.6597, R2 -16.9470
x26: Cal. error 0.4950, RMSE 0.6610, R2 -16.9105
x27: Cal. error 0.4950, RMSE 0.6765, R2 -17.6756
x28: Cal. error 0.4950, RMSE 0.6805, R2 -17.7421
x29: Cal. error 0.4950, RMSE 0.6962, R2 -18.4482
x30: Cal. error 0.4950, RMSE 0.6976, R2 -18.3917
x31: Cal. error 0.4950, RMSE 0.7132, R2 -19.1430
x32: Cal. error 0.4950, RMSE 0.7164, R2 -19.1145
x33: Cal. error 0.4950, RMSE 0.7284, R2 -19.6626
x34: Cal. error 0.4950, RMSE 0.7268, R2 -19.4003
x35: Cal. error 0.4950, RMSE 0.7409, R2 -19.9932
x36: Cal. error 0.4950, RMSE 0.7370, R2 -19.7090
x37: Cal. error 0.4950, RMSE 0.7383, R2 -19.9657
x38: Cal. error 0.4950, RMSE 0.7339, R2 -19.4811
x39: Cal. error 0.4950, RMSE 0.7470, R2 -19.8947
x40: Cal. error 0.4950, RMSE 0.7399, R2 -19.4281
x41: Cal. error 0.4950, RMSE 0.7478, R2 -19.7585
x42: Cal. error 0.4950, RMSE 0.7433, R2 -19.3079
x43: Cal. error 0.4950, RMSE 0.7537, R2 -19.6863
x44: Cal. error 0.4950, RMSE 0.7489, R2 -19.2518
x45: Cal. error 0.5050, RMSE 0.7538, R2 -19.4855
x46: Cal. error 0.5050, RMSE 0.7431, R2 -18.8648
x47: Cal. error 0.5050, RMSE 0.7465, R2 -19.0458
x48: Cal. error 0.4950, RMSE 0.7309, R2 -18.3909
x49: Cal. error 0.4960, RMSE 0.7273, R2 -18.3447
x50: Cal. error 0.4950, RMSE 0.7108, R2 -17.5912
x51: Cal. error 0.4950, RMSE 0.7101, R2 -17.6606
x52: Cal. error 0.4950, RMSE 0.6959, R2 -17.1162
x53: Cal. error 0.4950, RMSE 0.6981, R2 -17.3389
x54: Cal. error 0.4950, RMSE 0.6903, R2 -16.9469
x55: Cal. error 0.5050, RMSE 0.6936, R2 -17.1435
x56: Cal. error 0.4960, RMSE 0.6823, R2 -16.5429
x57: Cal. error 0.4950, RMSE 0.6756, R2 -16.2090
x58: Cal. error 0.4950, RMSE 0.6570, R2 -15.1812
x59: Cal. error 0.4950, RMSE 0.6548, R2 -14.9658
x60: Cal. error 0.4950, RMSE 0.6318, R2 -13.7479
x61: Cal. error 0.4950, RMSE 0.6229, R2 -13.2158
x62: Cal. error 0.5050, RMSE 0.6345, R2 -13.6547
x63: Cal. error 0.5050, RMSE 0.6557, R2 -14.5220
x64: Cal. error 0.5050, RMSE 0.6658, R2 -14.9638
x65: Cal. error 0.5050, RMSE 0.7085, R2 -16.9267
x66: Cal. error 0.5050, RMSE 0.7001, R2 -16.4359
