Calibration metrics:
x0: Cal. error 0.3040, RMSE 0.1484, R2 0.2078
x1: Cal. error 0.1830, RMSE 0.1413, R2 0.2872
x2: Cal. error 0.1800, RMSE 0.1496, R2 0.2036
x3: Cal. error 0.1640, RMSE 0.1513, R2 0.1922
x4: Cal. error 0.1770, RMSE 0.1543, R2 0.1619
x5: Cal. error 0.1800, RMSE 0.1579, R2 0.1195
x6: Cal. error 0.1900, RMSE 0.1607, R2 0.0863
x7: Cal. error 0.1950, RMSE 0.1653, R2 0.0287
x8: Cal. error 0.2230, RMSE 0.1696, R2 -0.0278
x9: Cal. error 0.2380, RMSE 0.1749, R2 -0.1053
x10: Cal. error 0.2520, RMSE 0.1722, R2 -0.0848
x11: Cal. error 0.2420, RMSE 0.1718, R2 -0.0955
x12: Cal. error 0.2640, RMSE 0.1712, R2 -0.1044
x13: Cal. error 0.2520, RMSE 0.1729, R2 -0.1436
x14: Cal. error 0.2490, RMSE 0.1699, R2 -0.1217
x15: Cal. error 0.2440, RMSE 0.1688, R2 -0.1234
x16: Cal. error 0.2640, RMSE 0.1724, R2 -0.1908
x17: Cal. error 0.2680, RMSE 0.1773, R2 -0.2753
x18: Cal. error 0.2610, RMSE 0.1754, R2 -0.2616
x19: Cal. error 0.2590, RMSE 0.1751, R2 -0.2669
x20: Cal. error 0.2670, RMSE 0.1736, R2 -0.2546
x21: Cal. error 0.2760, RMSE 0.1764, R2 -0.2994
x22: Cal. error 0.2630, RMSE 0.1741, R2 -0.2695
x23: Cal. error 0.2640, RMSE 0.1734, R2 -0.2609
x24: Cal. error 0.2810, RMSE 0.1776, R2 -0.3188
x25: Cal. error 0.2760, RMSE 0.1807, R2 -0.3623
x26: Cal. error 0.2740, RMSE 0.1808, R2 -0.3562
x27: Cal. error 0.2510, RMSE 0.1805, R2 -0.3451
x28: Cal. error 0.2440, RMSE 0.1790, R2 -0.3122
x29: Cal. error 0.2360, RMSE 0.1802, R2 -0.3171
x30: Cal. error 0.2370, RMSE 0.1798, R2 -0.3019
x31: Cal. error 0.2230, RMSE 0.1807, R2 -0.3071
x32: Cal. error 0.2520, RMSE 0.1869, R2 -0.3841
x33: Cal. error 0.2540, RMSE 0.1906, R2 -0.4296
x34: Cal. error 0.2460, RMSE 0.1931, R2 -0.4558
x35: Cal. error 0.2470, RMSE 0.1956, R2 -0.4794
x36: Cal. error 0.2320, RMSE 0.1966, R2 -0.4909
x37: Cal. error 0.2350, RMSE 0.1972, R2 -0.5121
x38: Cal. error 0.2360, RMSE 0.2000, R2 -0.5376
x39: Cal. error 0.2360, RMSE 0.2043, R2 -0.5813
x40: Cal. error 0.2550, RMSE 0.2126, R2 -0.7064
x41: Cal. error 0.2610, RMSE 0.2202, R2 -0.8211
x42: Cal. error 0.2550, RMSE 0.2252, R2 -0.8861
x43: Cal. error 0.2670, RMSE 0.2307, R2 -0.9616
x44: Cal. error 0.2720, RMSE 0.2359, R2 -1.0337
x45: Cal. error 0.2690, RMSE 0.2425, R2 -1.1463
x46: Cal. error 0.2640, RMSE 0.2421, R2 -1.1333
x47: Cal. error 0.2640, RMSE 0.2415, R2 -1.1220
x48: Cal. error 0.2680, RMSE 0.2415, R2 -1.1399
x49: Cal. error 0.2610, RMSE 0.2429, R2 -1.1808
x50: Cal. error 0.2510, RMSE 0.2380, R2 -1.1044
x51: Cal. error 0.2560, RMSE 0.2339, R2 -1.0429
x52: Cal. error 0.2550, RMSE 0.2285, R2 -0.9699
x53: Cal. error 0.2590, RMSE 0.2278, R2 -0.9669
x54: Cal. error 0.2640, RMSE 0.2246, R2 -0.9131
x55: Cal. error 0.2700, RMSE 0.2233, R2 -0.8921
x56: Cal. error 0.2780, RMSE 0.2259, R2 -0.9337
x57: Cal. error 0.2690, RMSE 0.2269, R2 -0.9504
x58: Cal. error 0.2840, RMSE 0.2244, R2 -0.8956
x59: Cal. error 0.2750, RMSE 0.2177, R2 -0.7722
x60: Cal. error 0.2750, RMSE 0.1944, R2 -0.4020
x61: Cal. error 0.3040, RMSE 0.1894, R2 -0.3189
x62: Cal. error 0.3110, RMSE 0.1697, R2 -0.0519
x63: Cal. error 0.3660, RMSE 0.1744, R2 -0.1028
x64: Cal. error 0.3040, RMSE 0.1576, R2 0.1071
x65: Cal. error 0.2140, RMSE 0.1565, R2 0.1264
x66: Cal. error 0.2130, RMSE 0.1665, R2 0.0147
x67: Cal. error 0.2150, RMSE 0.1699, R2 -0.0182
x68: Cal. error 0.2160, RMSE 0.1742, R2 -0.0669
x69: Cal. error 0.2250, RMSE 0.1796, R2 -0.1370
x70: Cal. error 0.2430, RMSE 0.1833, R2 -0.1855
x71: Cal. error 0.2560, RMSE 0.1870, R2 -0.2392
x72: Cal. error 0.2690, RMSE 0.1883, R2 -0.2626
x73: Cal. error 0.2590, RMSE 0.1916, R2 -0.3224
x74: Cal. error 0.2720, RMSE 0.1881, R2 -0.2902
x75: Cal. error 0.2760, RMSE 0.1877, R2 -0.3003
x76: Cal. error 0.2850, RMSE 0.1868, R2 -0.3089
x77: Cal. error 0.2720, RMSE 0.1890, R2 -0.3608
x78: Cal. error 0.2790, RMSE 0.1872, R2 -0.3537
x79: Cal. error 0.2850, RMSE 0.1869, R2 -0.3700
x80: Cal. error 0.3080, RMSE 0.1904, R2 -0.4440
x81: Cal. error 0.3180, RMSE 0.1957, R2 -0.5446
x82: Cal. error 0.3180, RMSE 0.1945, R2 -0.5416
x83: Cal. error 0.2960, RMSE 0.1949, R2 -0.5624
x84: Cal. error 0.3010, RMSE 0.1935, R2 -0.5514
x85: Cal. error 0.2990, RMSE 0.1966, R2 -0.6074
x86: Cal. error 0.2980, RMSE 0.1952, R2 -0.5885
x87: Cal. error 0.2960, RMSE 0.1947, R2 -0.5835
