Calibration metrics:
x0: Cal. error 0.5020, RMSE 0.5578, R2 -10.1403
x1: Cal. error 0.5050, RMSE 0.4166, R2 -5.1622
x2: Cal. error 0.4880, RMSE 0.3254, R2 -2.7452
x3: Cal. error 0.4940, RMSE 0.3714, R2 -3.8400
x4: Cal. error 0.4680, RMSE 0.3360, R2 -2.9484
x5: Cal. error 0.4820, RMSE 0.3594, R2 -3.5232
x6: Cal. error 0.4540, RMSE 0.3239, R2 -2.6794
x7: Cal. error 0.4770, RMSE 0.3487, R2 -3.2800
x8: Cal. error 0.4510, RMSE 0.3270, R2 -2.7810
x9: Cal. error 0.4740, RMSE 0.3444, R2 -3.2402
x10: Cal. error 0.4490, RMSE 0.3175, R2 -2.6474
x11: Cal. error 0.4790, RMSE 0.3420, R2 -3.2871
x12: Cal. error 0.4540, RMSE 0.3187, R2 -2.7811
x13: Cal. error 0.4820, RMSE 0.3387, R2 -3.3362
x14: Cal. error 0.4430, RMSE 0.3117, R2 -2.7258
x15: Cal. error 0.4820, RMSE 0.3376, R2 -3.4353
x16: Cal. error 0.4490, RMSE 0.3159, R2 -2.9427
x17: Cal. error 0.4820, RMSE 0.3351, R2 -3.4934
x18: Cal. error 0.4650, RMSE 0.3130, R2 -2.9648
x19: Cal. error 0.4880, RMSE 0.3410, R2 -3.7466
x20: Cal. error 0.4740, RMSE 0.3195, R2 -3.1960
x21: Cal. error 0.4880, RMSE 0.3456, R2 -3.9275
x22: Cal. error 0.4710, RMSE 0.3217, R2 -3.2819
x23: Cal. error 0.5020, RMSE 0.3549, R2 -4.2173
x24: Cal. error 0.4780, RMSE 0.3309, R2 -3.5253
x25: Cal. error 0.4960, RMSE 0.3625, R2 -4.4195
x26: Cal. error 0.4820, RMSE 0.3336, R2 -3.5628
x27: Cal. error 0.5020, RMSE 0.3698, R2 -4.5791
x28: Cal. error 0.4880, RMSE 0.3440, R2 -3.7885
x29: Cal. error 0.5020, RMSE 0.3791, R2 -4.7666
x30: Cal. error 0.4850, RMSE 0.3472, R2 -3.8039
x31: Cal. error 0.4990, RMSE 0.3862, R2 -4.9072
x32: Cal. error 0.4820, RMSE 0.3583, R2 -4.0326
x33: Cal. error 0.4990, RMSE 0.3930, R2 -5.0162
x34: Cal. error 0.4820, RMSE 0.3577, R2 -3.9409
x35: Cal. error 0.4960, RMSE 0.3955, R2 -4.9811
x36: Cal. error 0.4790, RMSE 0.3659, R2 -4.1056
x37: Cal. error 0.4940, RMSE 0.3959, R2 -5.0288
x38: Cal. error 0.4770, RMSE 0.3632, R2 -4.0165
x39: Cal. error 0.4940, RMSE 0.4033, R2 -5.0900
x40: Cal. error 0.4820, RMSE 0.3751, R2 -4.2505
x41: Cal. error 0.4960, RMSE 0.4081, R2 -5.1828
x42: Cal. error 0.4910, RMSE 0.3771, R2 -4.2278
x43: Cal. error 0.4990, RMSE 0.4117, R2 -5.1719
x44: Cal. error 0.4920, RMSE 0.3896, R2 -4.4805
x45: Cal. error 0.4990, RMSE 0.4171, R2 -5.2719
x46: Cal. error 0.4850, RMSE 0.3894, R2 -4.4557
x47: Cal. error 0.4990, RMSE 0.4198, R2 -5.3393
x48: Cal. error 0.4850, RMSE 0.3937, R2 -4.6262
x49: Cal. error 0.5020, RMSE 0.4170, R2 -5.3592
x50: Cal. error 0.4820, RMSE 0.3868, R2 -4.5056
x51: Cal. error 0.5050, RMSE 0.4068, R2 -5.1240
x52: Cal. error 0.4890, RMSE 0.3815, R2 -4.4443
x53: Cal. error 0.5020, RMSE 0.4008, R2 -5.0450
x54: Cal. error 0.4880, RMSE 0.3707, R2 -4.1761
x55: Cal. error 0.5020, RMSE 0.3937, R2 -4.8458
x56: Cal. error 0.4840, RMSE 0.3638, R2 -3.9874
x57: Cal. error 0.4990, RMSE 0.3811, R2 -4.4746
x58: Cal. error 0.4780, RMSE 0.3466, R2 -3.5032
x59: Cal. error 0.4890, RMSE 0.3745, R2 -4.2219
x60: Cal. error 0.4820, RMSE 0.3502, R2 -3.5307
x61: Cal. error 0.4910, RMSE 0.3642, R2 -3.8589
x62: Cal. error 0.5050, RMSE 0.4191, R2 -5.3929
x63: Cal. error 0.5050, RMSE 0.5003, R2 -8.0356
x64: Cal. error 0.5020, RMSE 0.5665, R2 -10.5560
x65: Cal. error 0.5050, RMSE 0.4202, R2 -5.3050
x66: Cal. error 0.4880, RMSE 0.3456, R2 -3.2479
x67: Cal. error 0.4940, RMSE 0.3849, R2 -4.2269
x68: Cal. error 0.4820, RMSE 0.3501, R2 -3.3093
x69: Cal. error 0.4850, RMSE 0.3744, R2 -3.9364
x70: Cal. error 0.4620, RMSE 0.3414, R2 -3.1088
x71: Cal. error 0.4820, RMSE 0.3643, R2 -3.6943
x72: Cal. error 0.4640, RMSE 0.3454, R2 -3.2394
x73: Cal. error 0.4850, RMSE 0.3606, R2 -3.6701
x74: Cal. error 0.4580, RMSE 0.3350, R2 -3.0785
x75: Cal. error 0.4850, RMSE 0.3583, R2 -3.7257
x76: Cal. error 0.4650, RMSE 0.3366, R2 -3.2358
x77: Cal. error 0.4850, RMSE 0.3553, R2 -3.7875
x78: Cal. error 0.4620, RMSE 0.3280, R2 -3.1406
x79: Cal. error 0.4820, RMSE 0.3523, R2 -3.8480
x80: Cal. error 0.4650, RMSE 0.3312, R2 -3.3502
x81: Cal. error 0.4850, RMSE 0.3488, R2 -3.8844
x82: Cal. error 0.4650, RMSE 0.3259, R2 -3.3097
x83: Cal. error 0.4880, RMSE 0.3536, R2 -4.1183
x84: Cal. error 0.4710, RMSE 0.3316, R2 -3.5349
x85: Cal. error 0.4890, RMSE 0.3583, R2 -4.3099
x86: Cal. error 0.4770, RMSE 0.3331, R2 -3.6037
x87: Cal. error 0.5010, RMSE 0.3667, R2 -4.5843
x88: Cal. error 0.4770, RMSE 0.3439, R2 -3.9009
x89: Cal. error 0.5020, RMSE 0.3755, R2 -4.8275
x90: Cal. error 0.4720, RMSE 0.3472, R2 -3.9529
x91: Cal. error 0.5020, RMSE 0.3833, R2 -5.0093
x92: Cal. error 0.4940, RMSE 0.3591, R2 -4.2322
x93: Cal. error 0.4990, RMSE 0.3938, R2 -5.2369
x94: Cal. error 0.4850, RMSE 0.3625, R2 -4.2468
x95: Cal. error 0.4990, RMSE 0.4008, R2 -5.3766
x96: Cal. error 0.4820, RMSE 0.3750, R2 -4.5243
x97: Cal. error 0.4990, RMSE 0.4091, R2 -5.5317
x98: Cal. error 0.4820, RMSE 0.3748, R2 -4.4365
x99: Cal. error 0.4990, RMSE 0.4120, R2 -5.5047
x100: Cal. error 0.4840, RMSE 0.3840, R2 -4.6339
x101: Cal. error 0.4960, RMSE 0.4132, R2 -5.5795
x102: Cal. error 0.4780, RMSE 0.3804, R2 -4.5155
x103: Cal. error 0.4960, RMSE 0.4198, R2 -5.6129
x104: Cal. error 0.4860, RMSE 0.3934, R2 -4.7893
x105: Cal. error 0.4990, RMSE 0.4257, R2 -5.7441
x106: Cal. error 0.4910, RMSE 0.3954, R2 -4.7592
x107: Cal. error 0.4990, RMSE 0.4295, R2 -5.7354
x108: Cal. error 0.4940, RMSE 0.4084, R2 -5.0396
x109: Cal. error 0.5010, RMSE 0.4350, R2 -5.8424
x110: Cal. error 0.4910, RMSE 0.4070, R2 -4.9785
x111: Cal. error 0.5020, RMSE 0.4363, R2 -5.8715
x112: Cal. error 0.4940, RMSE 0.4119, R2 -5.1794
x113: Cal. error 0.5020, RMSE 0.4338, R2 -5.9101
x114: Cal. error 0.4940, RMSE 0.4036, R2 -5.0174
x115: Cal. error 0.5020, RMSE 0.4225, R2 -5.6347
x116: Cal. error 0.4960, RMSE 0.3975, R2 -4.9365
x117: Cal. error 0.5050, RMSE 0.4151, R2 -5.5150
x118: Cal. error 0.4880, RMSE 0.3843, R2 -4.5906
x119: Cal. error 0.5050, RMSE 0.4059, R2 -5.2456
x120: Cal. error 0.4910, RMSE 0.3774, R2 -4.3942
x121: Cal. error 0.5010, RMSE 0.3940, R2 -4.8856
x122: Cal. error 0.4820, RMSE 0.3579, R2 -3.8286
x123: Cal. error 0.4990, RMSE 0.3809, R2 -4.4327
x124: Cal. error 0.4880, RMSE 0.3599, R2 -3.8135
x125: Cal. error 0.4950, RMSE 0.3789, R2 -4.2900
x126: Cal. error 0.5050, RMSE 0.4290, R2 -5.7367
x127: Cal. error 0.5050, RMSE 0.5108, R2 -8.4732
x128: Cal. error 0.5020, RMSE 0.5745, R2 -10.9534
x129: Cal. error 0.5050, RMSE 0.4374, R2 -5.8718
x130: Cal. error 0.4820, RMSE 0.3720, R2 -3.9512
x131: Cal. error 0.4890, RMSE 0.4010, R2 -4.7091
x132: Cal. error 0.4790, RMSE 0.3753, R2 -3.9854
x133: Cal. error 0.4820, RMSE 0.3953, R2 -4.5372
x134: Cal. error 0.4710, RMSE 0.3648, R2 -3.7215
x135: Cal. error 0.4790, RMSE 0.3838, R2 -4.2439
x136: Cal. error 0.4720, RMSE 0.3693, R2 -3.8790
x137: Cal. error 0.4790, RMSE 0.3798, R2 -4.2157
x138: Cal. error 0.4640, RMSE 0.3583, R2 -3.6962
x139: Cal. error 0.4790, RMSE 0.3766, R2 -4.2551
x140: Cal. error 0.4650, RMSE 0.3581, R2 -3.8276
x141: Cal. error 0.4790, RMSE 0.3719, R2 -4.2828
x142: Cal. error 0.4620, RMSE 0.3475, R2 -3.6783
x143: Cal. error 0.4880, RMSE 0.3677, R2 -4.3174
x144: Cal. error 0.4720, RMSE 0.3497, R2 -3.8820
x145: Cal. error 0.4880, RMSE 0.3645, R2 -4.3707
x146: Cal. error 0.4770, RMSE 0.3436, R2 -3.8250
x147: Cal. error 0.4910, RMSE 0.3684, R2 -4.5947
x148: Cal. error 0.4790, RMSE 0.3495, R2 -4.0712
x149: Cal. error 0.4960, RMSE 0.3740, R2 -4.8244
x150: Cal. error 0.4820, RMSE 0.3513, R2 -4.1553
x151: Cal. error 0.5020, RMSE 0.3819, R2 -5.0991
x152: Cal. error 0.4850, RMSE 0.3630, R2 -4.4981
x153: Cal. error 0.5020, RMSE 0.3926, R2 -5.4144
x154: Cal. error 0.4880, RMSE 0.3665, R2 -4.5567
x155: Cal. error 0.5020, RMSE 0.4000, R2 -5.5876
x156: Cal. error 0.4910, RMSE 0.3792, R2 -4.8727
x157: Cal. error 0.5020, RMSE 0.4115, R2 -5.8547
x158: Cal. error 0.4820, RMSE 0.3824, R2 -4.8773
x159: Cal. error 0.5010, RMSE 0.4174, R2 -5.9588
x160: Cal. error 0.4850, RMSE 0.3950, R2 -5.1688
x161: Cal. error 0.4990, RMSE 0.4270, R2 -6.1628
x162: Cal. error 0.4850, RMSE 0.3945, R2 -5.0622
x163: Cal. error 0.4990, RMSE 0.4288, R2 -6.0923
x164: Cal. error 0.4890, RMSE 0.4035, R2 -5.2593
x165: Cal. error 0.4990, RMSE 0.4306, R2 -6.1903
x166: Cal. error 0.4890, RMSE 0.3997, R2 -5.1259
x167: Cal. error 0.4990, RMSE 0.4362, R2 -6.1826
x168: Cal. error 0.4910, RMSE 0.4125, R2 -5.4010
x169: Cal. error 0.4990, RMSE 0.4434, R2 -6.3542
x170: Cal. error 0.4910, RMSE 0.4140, R2 -5.3472
x171: Cal. error 0.4990, RMSE 0.4462, R2 -6.3046
x172: Cal. error 0.4910, RMSE 0.4277, R2 -5.6542
x173: Cal. error 0.4990, RMSE 0.4533, R2 -6.4633
x174: Cal. error 0.4910, RMSE 0.4266, R2 -5.5962
x175: Cal. error 0.5020, RMSE 0.4536, R2 -6.4564
x176: Cal. error 0.4960, RMSE 0.4308, R2 -5.7863
x177: Cal. error 0.5020, RMSE 0.4517, R2 -6.5181
x178: Cal. error 0.4950, RMSE 0.4217, R2 -5.5947
x179: Cal. error 0.5020, RMSE 0.4390, R2 -6.1885
x180: Cal. error 0.4990, RMSE 0.4154, R2 -5.5060
x181: Cal. error 0.5050, RMSE 0.4338, R2 -6.1377
x182: Cal. error 0.5020, RMSE 0.4031, R2 -5.1710
x183: Cal. error 0.5050, RMSE 0.4234, R2 -5.8185
x184: Cal. error 0.4960, RMSE 0.3958, R2 -4.9554
x185: Cal. error 0.5050, RMSE 0.4103, R2 -5.4076
x186: Cal. error 0.4880, RMSE 0.3775, R2 -4.3921
x187: Cal. error 0.5020, RMSE 0.3988, R2 -4.9805
x188: Cal. error 0.4880, RMSE 0.3825, R2 -4.4612
x189: Cal. error 0.4960, RMSE 0.3872, R2 -4.5495
x190: Cal. error 0.5050, RMSE 0.4495, R2 -6.4343
x191: Cal. error 0.5050, RMSE 0.5189, R2 -8.8293
x192: Cal. error 0.5020, RMSE 0.5769, R2 -11.0597
x193: Cal. error 0.5050, RMSE 0.4430, R2 -6.0522
x194: Cal. error 0.4850, RMSE 0.3764, R2 -4.0738
x195: Cal. error 0.4940, RMSE 0.3974, R2 -4.6128
x196: Cal. error 0.4820, RMSE 0.3755, R2 -3.9974
x197: Cal. error 0.4880, RMSE 0.3959, R2 -4.5631
x198: Cal. error 0.4720, RMSE 0.3658, R2 -3.7572
x199: Cal. error 0.4820, RMSE 0.3853, R2 -4.2957
x200: Cal. error 0.4620, RMSE 0.3684, R2 -3.8647
x201: Cal. error 0.4790, RMSE 0.3790, R2 -4.2076
x202: Cal. error 0.4570, RMSE 0.3558, R2 -3.6444
x203: Cal. error 0.4790, RMSE 0.3754, R2 -4.2357
x204: Cal. error 0.4670, RMSE 0.3557, R2 -3.7783
x205: Cal. error 0.4840, RMSE 0.3709, R2 -4.2733
x206: Cal. error 0.4620, RMSE 0.3455, R2 -3.6403
x207: Cal. error 0.4880, RMSE 0.3662, R2 -4.2920
x208: Cal. error 0.4710, RMSE 0.3469, R2 -3.8219
x209: Cal. error 0.4880, RMSE 0.3625, R2 -4.3335
x210: Cal. error 0.4740, RMSE 0.3404, R2 -3.7520
x211: Cal. error 0.4880, RMSE 0.3665, R2 -4.5564
x212: Cal. error 0.4790, RMSE 0.3459, R2 -3.9836
x213: Cal. error 0.4980, RMSE 0.3719, R2 -4.7806
x214: Cal. error 0.4820, RMSE 0.3470, R2 -4.0483
x215: Cal. error 0.5050, RMSE 0.3796, R2 -5.0471
x216: Cal. error 0.4850, RMSE 0.3585, R2 -4.3824
x217: Cal. error 0.5020, RMSE 0.3897, R2 -5.3420
x218: Cal. error 0.4910, RMSE 0.3619, R2 -4.4386
x219: Cal. error 0.5020, RMSE 0.3978, R2 -5.5395
x220: Cal. error 0.4940, RMSE 0.3752, R2 -4.7694
x221: Cal. error 0.5020, RMSE 0.4092, R2 -5.8044
x222: Cal. error 0.4910, RMSE 0.3783, R2 -4.7751
