Calibration metrics:
x0: Cal. error 0.5050, RMSE 0.7417, R2 -18.7875
x1: Cal. error 0.5050, RMSE 0.7411, R2 -18.5989
x2: Cal. error 0.5050, RMSE 0.7329, R2 -18.1106
x3: Cal. error 0.5050, RMSE 0.7383, R2 -18.2463
x4: Cal. error 0.5050, RMSE 0.7379, R2 -18.1787
x5: Cal. error 0.5050, RMSE 0.7358, R2 -18.1129
x6: Cal. error 0.5050, RMSE 0.7356, R2 -18.1433
x7: Cal. error 0.5050, RMSE 0.7325, R2 -18.0625
x8: Cal. error 0.5050, RMSE 0.7311, R2 -18.0962
x9: Cal. error 0.5050, RMSE 0.7281, R2 -18.1610
x10: Cal. error 0.5050, RMSE 0.7244, R2 -18.2077
x11: Cal. error 0.5050, RMSE 0.7216, R2 -18.3174
x12: Cal. error 0.5050, RMSE 0.7182, R2 -18.4493
x13: Cal. error 0.5050, RMSE 0.7166, R2 -18.6527
x14: Cal. error 0.5050, RMSE 0.7148, R2 -18.8469
x15: Cal. error 0.5050, RMSE 0.7135, R2 -19.0774
x16: Cal. error 0.5050, RMSE 0.7124, R2 -19.3231
x17: Cal. error 0.5050, RMSE 0.7131, R2 -19.6178
x18: Cal. error 0.5050, RMSE 0.7144, R2 -19.9153
x19: Cal. error 0.5050, RMSE 0.7166, R2 -20.2290
x20: Cal. error 0.5050, RMSE 0.7200, R2 -20.5805
x21: Cal. error 0.5050, RMSE 0.7242, R2 -20.9029
x22: Cal. error 0.5050, RMSE 0.7293, R2 -21.2822
x23: Cal. error 0.5050, RMSE 0.7346, R2 -21.6244
x24: Cal. error 0.5050, RMSE 0.7410, R2 -21.9700
x25: Cal. error 0.5050, RMSE 0.7475, R2 -22.3122
x26: Cal. error 0.5050, RMSE 0.7554, R2 -22.6655
x27: Cal. error 0.5050, RMSE 0.7627, R2 -23.0059
x28: Cal. error 0.5050, RMSE 0.7709, R2 -23.3217
x29: Cal. error 0.5050, RMSE 0.7797, R2 -23.6663
x30: Cal. error 0.5050, RMSE 0.7867, R2 -23.9331
x31: Cal. error 0.5050, RMSE 0.7945, R2 -24.2694
x32: Cal. error 0.5050, RMSE 0.8018, R2 -24.4697
x33: Cal. error 0.5050, RMSE 0.8090, R2 -24.7648
x34: Cal. error 0.5050, RMSE 0.8144, R2 -24.8865
x35: Cal. error 0.5050, RMSE 0.8226, R2 -25.1649
x36: Cal. error 0.5050, RMSE 0.8252, R2 -25.2570
x37: Cal. error 0.5050, RMSE 0.8239, R2 -25.3892
x38: Cal. error 0.5050, RMSE 0.8285, R2 -25.3952
x39: Cal. error 0.5050, RMSE 0.8374, R2 -25.5626
x40: Cal. error 0.5050, RMSE 0.8369, R2 -25.4465
x41: Cal. error 0.5050, RMSE 0.8404, R2 -25.5268
x42: Cal. error 0.5050, RMSE 0.8424, R2 -25.3966
x43: Cal. error 0.5050, RMSE 0.8459, R2 -25.3723
x44: Cal. error 0.5050, RMSE 0.8461, R2 -25.1577
x45: Cal. error 0.5050, RMSE 0.8453, R2 -25.0704
x46: Cal. error 0.5050, RMSE 0.8412, R2 -24.7541
x47: Cal. error 0.5050, RMSE 0.8380, R2 -24.5575
x48: Cal. error 0.5050, RMSE 0.8279, R2 -24.1521
x49: Cal. error 0.5050, RMSE 0.8208, R2 -23.9012
x50: Cal. error 0.5050, RMSE 0.8119, R2 -23.4917
x51: Cal. error 0.5050, RMSE 0.8042, R2 -23.1554
x52: Cal. error 0.5050, RMSE 0.7919, R2 -22.6585
x53: Cal. error 0.5050, RMSE 0.7838, R2 -22.2876
x54: Cal. error 0.5050, RMSE 0.7755, R2 -21.8032
x55: Cal. error 0.5050, RMSE 0.7694, R2 -21.4597
x56: Cal. error 0.5050, RMSE 0.7617, R2 -20.9814
x57: Cal. error 0.5050, RMSE 0.7566, R2 -20.6830
x58: Cal. error 0.5050, RMSE 0.7523, R2 -20.3040
x59: Cal. error 0.5050, RMSE 0.7473, R2 -19.8778
x60: Cal. error 0.5050, RMSE 0.7433, R2 -19.4855
x61: Cal. error 0.5050, RMSE 0.7429, R2 -19.2965
x62: Cal. error 0.5050, RMSE 0.7414, R2 -19.0846
x63: Cal. error 0.5050, RMSE 0.7434, R2 -19.0310
x64: Cal. error 0.5050, RMSE 0.7422, R2 -18.8148
x65: Cal. error 0.5050, RMSE 0.7414, R2 -18.6117
x66: Cal. error 0.5050, RMSE 0.7360, R2 -18.2573
x67: Cal. error 0.5050, RMSE 0.7389, R2 -18.2591
x68: Cal. error 0.5050, RMSE 0.7397, R2 -18.2473
x69: Cal. error 0.5050, RMSE 0.7368, R2 -18.1287
x70: Cal. error 0.5050, RMSE 0.7358, R2 -18.1074
x71: Cal. error 0.5050, RMSE 0.7334, R2 -18.0536
x72: Cal. error 0.5050, RMSE 0.7314, R2 -18.0503
x73: Cal. error 0.5050, RMSE 0.7289, R2 -18.1279
x74: Cal. error 0.5050, RMSE 0.7243, R2 -18.1175
x75: Cal. error 0.5050, RMSE 0.7224, R2 -18.2697
x76: Cal. error 0.5050, RMSE 0.7183, R2 -18.3581
x77: Cal. error 0.5050, RMSE 0.7172, R2 -18.5890
x78: Cal. error 0.5050, RMSE 0.7146, R2 -18.7275
x79: Cal. error 0.5050, RMSE 0.7142, R2 -19.0034
x80: Cal. error 0.5050, RMSE 0.7126, R2 -19.2202
x81: Cal. error 0.5050, RMSE 0.7140, R2 -19.5570
x82: Cal. error 0.5050, RMSE 0.7141, R2 -19.7903
x83: Cal. error 0.5050, RMSE 0.7176, R2 -20.1773
x84: Cal. error 0.5050, RMSE 0.7204, R2 -20.5002
x85: Cal. error 0.5050, RMSE 0.7255, R2 -20.8822
x86: Cal. error 0.5050, RMSE 0.7296, R2 -21.2053
x87: Cal. error 0.5050, RMSE 0.7359, R2 -21.6116
x88: Cal. error 0.5050, RMSE 0.7420, R2 -21.9446
x89: Cal. error 0.5050, RMSE 0.7492, R2 -22.3416
x90: Cal. error 0.5050, RMSE 0.7560, R2 -22.6311
x91: Cal. error 0.5050, RMSE 0.7640, R2 -23.0234
x92: Cal. error 0.5050, RMSE 0.7721, R2 -23.3433
x93: Cal. error 0.5050, RMSE 0.7814, R2 -23.7245
x94: Cal. error 0.5050, RMSE 0.7875, R2 -23.9409
x95: Cal. error 0.5050, RMSE 0.7956, R2 -24.3090
x96: Cal. error 0.5050, RMSE 0.8031, R2 -24.5314
x97: Cal. error 0.5050, RMSE 0.8105, R2 -24.8421
x98: Cal. error 0.5050, RMSE 0.8150, R2 -24.9185
x99: Cal. error 0.5050, RMSE 0.8237, R2 -25.2256
x100: Cal. error 0.5050, RMSE 0.8266, R2 -25.3383
x101: Cal. error 0.5050, RMSE 0.8253, R2 -25.4824
x102: Cal. error 0.5050, RMSE 0.8292, R2 -25.4453
x103: Cal. error 0.5050, RMSE 0.8384, R2 -25.6315
x104: Cal. error 0.5050, RMSE 0.8380, R2 -25.5282
x105: Cal. error 0.5050, RMSE 0.8414, R2 -25.6086
x106: Cal. error 0.5050, RMSE 0.8428, R2 -25.4337
x107: Cal. error 0.5050, RMSE 0.8467, R2 -25.4367
x108: Cal. error 0.5050, RMSE 0.8469, R2 -25.2272
x109: Cal. error 0.5050, RMSE 0.8461, R2 -25.1456
x110: Cal. error 0.5050, RMSE 0.8415, R2 -24.8034
x111: Cal. error 0.5050, RMSE 0.8387, R2 -24.6253
x112: Cal. error 0.5050, RMSE 0.8289, R2 -24.2448
x113: Cal. error 0.5050, RMSE 0.8217, R2 -23.9803
x114: Cal. error 0.5050, RMSE 0.8125, R2 -23.5566
x115: Cal. error 0.5050, RMSE 0.8050, R2 -23.2286
x116: Cal. error 0.5050, RMSE 0.7931, R2 -22.7543
x117: Cal. error 0.5050, RMSE 0.7848, R2 -22.3760
x118: Cal. error 0.5050, RMSE 0.7763, R2 -21.8794
x119: Cal. error 0.5050, RMSE 0.7704, R2 -21.5472
x120: Cal. error 0.5050, RMSE 0.7630, R2 -21.0829
x121: Cal. error 0.5050, RMSE 0.7574, R2 -20.7541
x122: Cal. error 0.5050, RMSE 0.7527, R2 -20.3526
x123: Cal. error 0.5050, RMSE 0.7487, R2 -19.9736
x124: Cal. error 0.5050, RMSE 0.7442, R2 -19.5516
x125: Cal. error 0.5050, RMSE 0.7420, R2 -19.2581
x126: Cal. error 0.5050, RMSE 0.7422, R2 -19.1396
x127: Cal. error 0.5050, RMSE 0.7430, R2 -19.0204
x128: Cal. error 0.5050, RMSE 0.7423, R2 -18.8582
x129: Cal. error 0.5050, RMSE 0.7399, R2 -18.5714
x130: Cal. error 0.5050, RMSE 0.7332, R2 -18.1532
x131: Cal. error 0.5050, RMSE 0.7370, R2 -18.2063
x132: Cal. error 0.5050, RMSE 0.7371, R2 -18.1590
x133: Cal. error 0.5050, RMSE 0.7343, R2 -18.0470
x134: Cal. error 0.5050, RMSE 0.7340, R2 -18.0646
x135: Cal. error 0.5050, RMSE 0.7310, R2 -17.9768
x136: Cal. error 0.5050, RMSE 0.7306, R2 -18.0520
x137: Cal. error 0.5050, RMSE 0.7262, R2 -18.0316
x138: Cal. error 0.5050, RMSE 0.7236, R2 -18.1245
x139: Cal. error 0.5050, RMSE 0.7197, R2 -18.1646
x140: Cal. error 0.5050, RMSE 0.7173, R2 -18.3422
x141: Cal. error 0.5050, RMSE 0.7144, R2 -18.4753
x142: Cal. error 0.5050, RMSE 0.7137, R2 -18.7180
x143: Cal. error 0.5050, RMSE 0.7116, R2 -18.8963
x144: Cal. error 0.5050, RMSE 0.7116, R2 -19.2074
x145: Cal. error 0.5050, RMSE 0.7114, R2 -19.4535
x146: Cal. error 0.5050, RMSE 0.7136, R2 -19.8028
x147: Cal. error 0.5050, RMSE 0.7151, R2 -20.0788
x148: Cal. error 0.5050, RMSE 0.7191, R2 -20.4758
x149: Cal. error 0.5050, RMSE 0.7229, R2 -20.7807
x150: Cal. error 0.5050, RMSE 0.7284, R2 -21.1915
x151: Cal. error 0.5050, RMSE 0.7327, R2 -21.4824
x152: Cal. error 0.5050, RMSE 0.7401, R2 -21.9018
x153: Cal. error 0.5050, RMSE 0.7455, R2 -22.1910
x154: Cal. error 0.5050, RMSE 0.7540, R2 -22.5964
x155: Cal. error 0.5050, RMSE 0.7597, R2 -22.8534
x156: Cal. error 0.5050, RMSE 0.7694, R2 -23.2821
x157: Cal. error 0.5050, RMSE 0.7769, R2 -23.5574
x158: Cal. error 0.5050, RMSE 0.7849, R2 -23.9037
x159: Cal. error 0.5050, RMSE 0.7904, R2 -24.1056
x160: Cal. error 0.5050, RMSE 0.8003, R2 -24.4824
x161: Cal. error 0.5050, RMSE 0.8054, R2 -24.6544
x162: Cal. error 0.5050, RMSE 0.8120, R2 -24.8605
x163: Cal. error 0.5050, RMSE 0.8183, R2 -25.0151
x164: Cal. error 0.5050, RMSE 0.8236, R2 -25.2794
x165: Cal. error 0.5050, RMSE 0.8205, R2 -25.3011
x166: Cal. error 0.5050, RMSE 0.8267, R2 -25.4006
x167: Cal. error 0.5050, RMSE 0.8332, R2 -25.4144
x168: Cal. error 0.5050, RMSE 0.8358, R2 -25.4919
x169: Cal. error 0.5050, RMSE 0.8372, R2 -25.4362
x170: Cal. error 0.5050, RMSE 0.8407, R2 -25.3918
x171: Cal. error 0.5050, RMSE 0.8426, R2 -25.2616
x172: Cal. error 0.5050, RMSE 0.8451, R2 -25.1863
x173: Cal. error 0.5050, RMSE 0.8428, R2 -24.9994
x174: Cal. error 0.5050, RMSE 0.8400, R2 -24.7643
